k_line,orient_line,coor_x_1,coor_y_1,coor_x_2,coor_y_2
297,1,-20.5346749523184,18.6687298113336,10.3,18.6687298113336
298,1,-20.5346749523184,18.7687298113336,10.3,18.7687298113336
299,1,-20.5346749523184,18.8687298113336,10.3,18.8687298113336
300,1,-20.5346749523184,18.9687298113336,10.3,18.9687298113336
301,1,-20.5346749523184,19.0687298113336,10.3,19.0687298113336
302,1,-20.5346749523184,19.1687298113336,10.3,19.1687298113336
303,1,-20.5346749523184,19.2687298113336,10.3,19.2687298113336
304,1,-20.5346749523184,19.3687298113336,10.3,19.3687298113336
305,1,-20.5346749523184,19.4687298113336,10.3,19.4687298113336
306,1,-20.5346749523184,19.5687298113336,10.3,19.5687298113336
307,1,-20.5346749523184,19.6687298113336,10.3,19.6687298113336
308,1,-20.5346749523184,19.7687298113336,10.3,19.7687298113336
309,1,-20.5346749523184,19.8687298113336,10.3,19.8687298113336
310,1,-20.5346749523184,19.9687298113336,10.3,19.9687298113336
311,1,-20.5346749523184,20.0687298113336,10.3,20.0687298113336
312,1,-20.5346749523184,20.1687298113336,10.3,20.1687298113336
313,1,-20.5346749523184,20.2687298113336,10.3,20.2687298113336
314,1,-20.5346749523184,20.3687298113336,10.3,20.3687298113336
315,1,-20.5346749523184,20.4687298113336,10.3,20.4687298113336
316,1,-20.5346749523184,20.5687298113336,10.3,20.5687298113336
317,1,-20.5346749523184,20.6687298113336,10.3,20.6687298113336
318,1,-20.5346749523184,20.7687298113336,10.3,20.7687298113336
319,1,-20.5346749523184,20.8687298113336,10.3,20.8687298113336
320,1,-20.5346749523184,20.9687298113336,10.3,20.9687298113336
321,1,-20.5346749523184,21.0687298113336,10.3,21.0687298113336
322,1,-20.5346749523184,21.1687298113336,10.3,21.1687298113336
323,1,-20.5346749523184,21.2687298113336,10.3,21.2687298113336
324,1,-20.5346749523184,21.3687298113336,10.3,21.3687298113336
325,1,-20.5346749523184,21.4687298113336,10.3,21.4687298113336
326,2,-20.5346749523184,21.5211283338669,-20.5346749523184,-11.0312701886664
327,2,-20.4346749523184,21.5211283338669,-20.4346749523184,-11.0312701886664
328,2,-20.3346749523184,21.5211283338669,-20.3346749523184,-11.0312701886664
329,2,-20.2346749523184,21.5211283338669,-20.2346749523184,-11.0312701886664
330,2,-20.1346749523184,21.5211283338669,-20.1346749523184,-11.0312701886664
331,2,-20.0346749523184,21.5211283338669,-20.0346749523184,-11.0312701886664
332,2,-19.9346749523184,21.5211283338669,-19.9346749523184,-11.0312701886664
333,2,-19.8346749523184,21.5211283338669,-19.8346749523184,-11.0312701886664
334,2,-19.7346749523184,21.5211283338669,-19.7346749523184,-11.0312701886664
335,2,-19.6346749523184,21.5211283338669,-19.6346749523184,-11.0312701886664
336,2,-19.5346749523184,21.5211283338669,-19.5346749523184,-11.0312701886664
337,2,-19.4346749523184,21.5211283338669,-19.4346749523184,-11.0312701886664
338,2,-19.3346749523184,21.5211283338669,-19.3346749523184,-11.0312701886664
339,2,-19.2346749523184,21.5211283338669,-19.2346749523184,-11.0312701886664
340,2,-19.1346749523184,21.5211283338669,-19.1346749523184,-11.0312701886664
341,2,-19.0346749523184,21.5211283338669,-19.0346749523184,-11.0312701886664
342,2,-18.9346749523184,21.5211283338669,-18.9346749523184,-11.0312701886664
343,2,-18.8346749523184,21.5211283338669,-18.8346749523184,-11.0312701886664
344,2,-18.7346749523184,21.5211283338669,-18.7346749523184,-11.0312701886664
345,2,-18.6346749523184,21.5211283338669,-18.6346749523184,-11.0312701886664
346,2,-18.5346749523184,21.5211283338669,-18.5346749523184,-11.0312701886664
347,2,-18.4346749523184,21.5211283338669,-18.4346749523184,-11.0312701886664
348,2,-18.3346749523184,21.5211283338669,-18.3346749523184,-11.0312701886664
349,2,-18.2346749523184,21.5211283338669,-18.2346749523184,-11.0312701886664
350,2,-18.1346749523184,21.5211283338669,-18.1346749523184,-11.0312701886664
351,2,-18.0346749523184,21.5211283338669,-18.0346749523184,-11.0312701886664
352,2,-17.9346749523184,21.5211283338669,-17.9346749523184,-11.0312701886664
353,2,-17.8346749523184,21.5211283338669,-17.8346749523184,-11.0312701886664
354,2,-17.7346749523184,21.5211283338669,-17.7346749523184,-11.0312701886664
355,2,-17.6346749523184,21.5211283338669,-17.6346749523184,-11.0312701886664
356,2,-17.5346749523184,21.5211283338669,-17.5346749523184,-11.0312701886664
357,2,-17.4346749523184,21.5211283338669,-17.4346749523184,-11.0312701886664
358,2,-17.3346749523184,21.5211283338669,-17.3346749523184,-11.0312701886664
359,2,-17.2346749523184,21.5211283338669,-17.2346749523184,-11.0312701886664
360,2,-17.1346749523184,21.5211283338669,-17.1346749523184,-11.0312701886664
361,2,-17.0346749523184,21.5211283338669,-17.0346749523184,-11.0312701886664
362,2,-16.9346749523184,21.5211283338669,-16.9346749523184,-11.0312701886664
363,2,-16.8346749523184,21.5211283338669,-16.8346749523184,-11.0312701886664
364,2,-16.7346749523184,21.5211283338669,-16.7346749523184,-11.0312701886664
365,2,-16.6346749523184,21.5211283338669,-16.6346749523184,-11.0312701886664
366,2,-16.5346749523184,21.5211283338669,-16.5346749523184,-11.0312701886664
367,2,-16.4346749523184,21.5211283338669,-16.4346749523184,-11.0312701886664
368,2,-16.3346749523184,21.5211283338669,-16.3346749523184,-11.0312701886664
369,2,-16.2346749523184,21.5211283338669,-16.2346749523184,-11.0312701886664
370,2,-16.1346749523184,21.5211283338669,-16.1346749523184,-11.0312701886664
371,2,-16.0346749523184,21.5211283338669,-16.0346749523184,-11.0312701886664
372,2,-15.9346749523184,21.5211283338669,-15.9346749523184,-11.0312701886664
373,2,-15.8346749523184,21.5211283338669,-15.8346749523184,-11.0312701886664
374,2,-15.7346749523184,21.5211283338669,-15.7346749523184,-11.0312701886664
375,2,-15.6346749523184,21.5211283338669,-15.6346749523184,-11.0312701886664
376,2,-15.5346749523184,21.5211283338669,-15.5346749523184,-11.0312701886664
377,2,-15.4346749523184,21.5211283338669,-15.4346749523184,-11.0312701886664
378,2,-15.3346749523184,21.5211283338669,-15.3346749523184,-11.0312701886664
379,2,-15.2346749523184,21.5211283338669,-15.2346749523184,-11.0312701886664
380,2,-15.1346749523184,21.5211283338669,-15.1346749523184,-11.0312701886664
381,2,-15.0346749523184,21.5211283338669,-15.0346749523184,-11.0312701886664
382,2,-14.9346749523184,21.5211283338669,-14.9346749523184,-11.0312701886664
383,2,-14.8346749523184,21.5211283338669,-14.8346749523184,-11.0312701886664
384,2,-14.7346749523184,21.5211283338669,-14.7346749523184,-11.0312701886664
385,2,-14.6346749523184,21.5211283338669,-14.6346749523184,-11.0312701886664
386,2,-14.5346749523184,21.5211283338669,-14.5346749523184,-11.0312701886664
387,2,-14.4346749523184,21.5211283338669,-14.4346749523184,-11.0312701886664
388,2,-14.3346749523184,21.5211283338669,-14.3346749523184,-11.0312701886664
389,2,-14.2346749523184,21.5211283338669,-14.2346749523184,-11.0312701886664
390,2,-14.1346749523184,21.5211283338669,-14.1346749523184,-11.0312701886664
391,2,-14.0346749523184,21.5211283338669,-14.0346749523184,-11.0312701886664
